FID	IID	sex	ancestry
NA18595	NA18595	F	EAS
NA18596	NA18596	F	EAS
NA18597	NA18597	F	EAS
NA18599	NA18599	F	EAS
NA18602	NA18602	F	EAS
NA18603	NA18603	M	EAS
NA18605	NA18605	M	EAS
NA18606	NA18606	M	EAS
NA18608	NA18608	M	EAS
NA18609	NA18609	M	EAS
NA18610	NA18610	F	EAS
NA18611	NA18611	M	EAS
NA18612	NA18612	M	EAS
NA18613	NA18613	M	EAS
NA18614	NA18614	F	EAS
NA18615	NA18615	F	EAS
NA18616	NA18616	F	EAS
NA18617	NA18617	F	EAS
NA18618	NA18618	F	EAS
NA18619	NA18619	F	EAS
NA18620	NA18620	M	EAS
NA18621	NA18621	M	EAS
NA18622	NA18622	M	EAS
NA18623	NA18623	M	EAS
NA18624	NA18624	M	EAS
NA18625	NA18625	F	EAS
NA18626	NA18626	F	EAS
NA18627	NA18627	F	EAS
NA18628	NA18628	F	EAS
NA18629	NA18629	M	EAS
NA18630	NA18630	F	EAS
NA18631	NA18631	F	EAS
NA18632	NA18632	M	EAS
NA18633	NA18633	M	EAS
NA18634	NA18634	F	EAS
NA18635	NA18635	M	EAS
NA18636	NA18636	M	EAS
NA18637	NA18637	M	EAS
NA18638	NA18638	M	EAS
NA18639	NA18639	M	EAS
NA18640	NA18640	F	EAS
NA18641	NA18641	F	EAS
NA18642	NA18642	F	EAS
NA18643	NA18643	M	EAS
NA18644	NA18644	F	EAS
NA18645	NA18645	M	EAS
NA18646	NA18646	F	EAS
NA18647	NA18647	M	EAS
NA18648	NA18648	M	EAS
NA18740	NA18740	M	EAS
NA18745	NA18745	M	EAS
NA18747	NA18747	M	EAS
NA18748	NA18748	M	EAS
NA18749	NA18749	M	EAS
NA18757	NA18757	M	EAS
NA18791	NA18791	M	EAS
NA18794	NA18794	M	EAS
NA18795	NA18795	F	EAS
NA18852	NA18852	F	AFR
NA18853	NA18853	M	AFR
NA18854	NA18854	M	AFR
NA18855	NA18855	F	AFR
NA18856	NA18856	M	AFR
NA18857	NA18857	M	AFR
NA18858	NA18858	F	AFR
NA18859	NA18859	M	AFR
NA18860	NA18860	M	AFR
NA18861	NA18861	F	AFR
NA18862	NA18862	M	AFR
NA18863	NA18863	M	AFR
NA18864	NA18864	F	AFR
NA18865	NA18865	M	AFR
NA18867	NA18867	F	AFR
NA18868	NA18868	M	AFR
NA18869	NA18869	M	AFR
NA18870	NA18870	F	AFR
NA18871	NA18871	M	AFR
NA18872	NA18872	M	AFR
NA18873	NA18873	F	AFR
NA18874	NA18874	M	AFR
NA18875	NA18875	F	AFR
NA18876	NA18876	F	AFR
NA18877	NA18877	M	AFR
NA18878	NA18878	F	AFR
NA18879	NA18879	M	AFR
NA18881	NA18881	F	AFR
NA18906	NA18906	F	AFR
NA18907	NA18907	F	AFR
NA18908	NA18908	M	AFR
NA18909	NA18909	F	AFR
NA18910	NA18910	M	AFR
NA18911	NA18911	M	AFR
NA18912	NA18912	F	AFR
NA18913	NA18913	M	AFR
NA18914	NA18914	M	AFR
NA18915	NA18915	M	AFR
NA18916	NA18916	F	AFR
NA18917	NA18917	M	AFR
NA18923	NA18923	M	AFR
NA18924	NA18924	F	AFR
NA18925	NA18925	M	AFR
NA18930	NA18930	F	AFR
NA18933	NA18933	F	AFR
NA18934	NA18934	M	AFR
NA18935	NA18935	M	AFR
NA18939	NA18939	F	EAS
NA18940	NA18940	M	EAS
NA18941	NA18941	F	EAS
NA18942	NA18942	F	EAS
NA18943	NA18943	M	EAS
NA18944	NA18944	M	EAS
NA18945	NA18945	M	EAS
NA18946	NA18946	F	EAS
NA18947	NA18947	F	EAS
NA18948	NA18948	M	EAS
NA18949	NA18949	F	EAS
NA18950	NA18950	F	EAS
NA18951	NA18951	F	EAS
NA18952	NA18952	M	EAS
NA18953	NA18953	M	EAS
NA18954	NA18954	F	EAS
NA18955	NA18955	M	EAS
NA18956	NA18956	F	EAS
NA18957	NA18957	F	EAS
NA18959	NA18959	M	EAS
NA18960	NA18960	M	EAS
NA18961	NA18961	M	EAS
NA18962	NA18962	M	EAS
NA18963	NA18963	F	EAS
NA18964	NA18964	F	EAS
NA18965	NA18965	M	EAS
NA18966	NA18966	M	EAS
NA18967	NA18967	M	EAS
NA18968	NA18968	F	EAS
NA18969	NA18969	F	EAS
NA18970	NA18970	M	EAS
NA18971	NA18971	M	EAS
NA18972	NA18972	F	EAS
NA18973	NA18973	F	EAS
NA18974	NA18974	M	EAS
NA18975	NA18975	F	EAS
NA18976	NA18976	F	EAS
NA18977	NA18977	M	EAS
NA18978	NA18978	F	EAS
NA18979	NA18979	F	EAS
NA18980	NA18980	F	EAS
NA18981	NA18981	F	EAS
NA18982	NA18982	M	EAS
NA18983	NA18983	M	EAS
NA18984	NA18984	M	EAS
NA18985	NA18985	M	EAS
NA18986	NA18986	M	EAS
NA18987	NA18987	F	EAS
NA18988	NA18988	M	EAS
NA18989	NA18989	M	EAS
NA18990	NA18990	M	EAS
NA18991	NA18991	F	EAS
NA18992	NA18992	F	EAS
NA18993	NA18993	F	EAS
NA18994	NA18994	M	EAS
NA18995	NA18995	M	EAS
NA18997	NA18997	F	EAS
NA18998	NA18998	F	EAS
NA18999	NA18999	F	EAS
NA19000	NA19000	M	EAS
NA19001	NA19001	F	EAS
NA19002	NA19002	F	EAS
NA19003	NA19003	F	EAS
NA19004	NA19004	M	EAS
NA19005	NA19005	M	EAS
NA19006	NA19006	M	EAS
NA19007	NA19007	M	EAS
NA19009	NA19009	M	EAS
NA19010	NA19010	F	EAS
NA19011	NA19011	F	EAS
NA19012	NA19012	M	EAS
NA19017	NA19017	F	AFR
NA19019	NA19019	F	AFR
NA19020	NA19020	M	AFR
NA19023	NA19023	F	AFR
NA19024	NA19024	F	AFR
NA19025	NA19025	M	AFR
NA19026	NA19026	M	AFR
NA19027	NA19027	M	AFR
NA19028	NA19028	M	AFR
NA19030	NA19030	F	AFR
NA19031	NA19031	M	AFR
NA19035	NA19035	M	AFR
NA19036	NA19036	F	AFR
NA19037	NA19037	F	AFR
NA19038	NA19038	F	AFR
NA19041	NA19041	M	AFR
NA19042	NA19042	F	AFR
NA19043	NA19043	M	AFR
NA19044	NA19044	M	AFR
NA19046	NA19046	M	AFR
NA19054	NA19054	F	EAS
NA19055	NA19055	M	EAS
NA19056	NA19056	M	EAS
NA19057	NA19057	F	EAS
NA19058	NA19058	M	EAS
NA19059	NA19059	F	EAS
NA19060	NA19060	M	EAS
NA19062	NA19062	M	EAS
NA19063	NA19063	M	EAS
NA19064	NA19064	F	EAS
NA19065	NA19065	F	EAS
NA19066	NA19066	M	EAS
NA19067	NA19067	M	EAS
NA19068	NA19068	M	EAS
NA19070	NA19070	M	EAS
NA19072	NA19072	M	EAS
NA19074	NA19074	F	EAS
NA19075	NA19075	M	EAS
NA19076	NA19076	M	EAS
NA19077	NA19077	F	EAS
NA19078	NA19078	F	EAS
NA19079	NA19079	M	EAS
NA19080	NA19080	F	EAS
NA19081	NA19081	F	EAS
NA19082	NA19082	M	EAS
NA19083	NA19083	M	EAS
NA19084	NA19084	F	EAS
NA19085	NA19085	M	EAS
NA19086	NA19086	M	EAS
NA19087	NA19087	F	EAS
NA19088	NA19088	M	EAS
NA19089	NA19089	M	EAS
NA19090	NA19090	F	EAS
NA19091	NA19091	M	EAS
NA19092	NA19092	M	AFR
NA19093	NA19093	F	AFR
NA19094	NA19094	F	AFR
NA19095	NA19095	F	AFR
NA19096	NA19096	M	AFR
NA19097	NA19097	F	AFR
NA19098	NA19098	M	AFR
NA19099	NA19099	F	AFR
NA19100	NA19100	F	AFR
NA19101	NA19101	M	AFR
NA19102	NA19102	F	AFR
NA19103	NA19103	M	AFR
NA19104	NA19104	M	AFR
NA19105	NA19105	F	AFR
NA19107	NA19107	M	AFR
NA19108	NA19108	F	AFR
NA19109	NA19109	F	AFR
NA19113	NA19113	M	AFR
NA19114	NA19114	F	AFR
NA19115	NA19115	F	AFR
NA19116	NA19116	F	AFR
NA19117	NA19117	M	AFR
NA19118	NA19118	F	AFR
NA19119	NA19119	M	AFR
NA19120	NA19120	M	AFR
NA19121	NA19121	M	AFR
NA19122	NA19122	F	AFR
NA19123	NA19123	M	AFR
NA19127	NA19127	F	AFR
NA19128	NA19128	M	AFR
NA19129	NA19129	F	AFR
NA19130	NA19130	M	AFR
NA19131	NA19131	F	AFR
NA19132	NA19132	F	AFR
NA19137	NA19137	F	AFR
NA19138	NA19138	M	AFR
NA19139	NA19139	M	AFR
NA19140	NA19140	F	AFR
NA19141	NA19141	M	AFR
NA19142	NA19142	M	AFR
NA19143	NA19143	F	AFR
NA19144	NA19144	M	AFR
NA19145	NA19145	M	AFR
NA19146	NA19146	M	AFR
NA19147	NA19147	F	AFR
NA19148	NA19148	F	AFR
NA19149	NA19149	F	AFR
NA19150	NA19150	M	AFR
NA19151	NA19151	F	AFR
NA19152	NA19152	F	AFR
NA19153	NA19153	M	AFR
NA19154	NA19154	M	AFR
NA19159	NA19159	F	AFR
NA19160	NA19160	M	AFR
NA19161	NA19161	M	AFR
NA19166	NA19166	F	AFR
NA19171	NA19171	M	AFR
NA19172	NA19172	F	AFR
NA19173	NA19173	M	AFR
NA19174	NA19174	M	AFR
NA19175	NA19175	M	AFR
NA19176	NA19176	F	AFR
NA19177	NA19177	M	AFR
NA19184	NA19184	M	AFR
NA19185	NA19185	F	AFR
NA19186	NA19186	M	AFR
NA19189	NA19189	M	AFR
NA19190	NA19190	F	AFR
NA19191	NA19191	M	AFR
NA19195	NA19195	M	AFR
NA19196	NA19196	F	AFR
NA19197	NA19197	F	AFR
NA19198	NA19198	M	AFR
NA19199	NA19199	F	AFR
NA19200	NA19200	M	AFR
NA19201	NA19201	F	AFR
NA19202	NA19202	F	AFR
NA19203	NA19203	M	AFR
NA19204	NA19204	F	AFR
NA19205	NA19205	M	AFR
NA19206	NA19206	F	AFR
NA19207	NA19207	M	AFR
NA19208	NA19208	M	AFR
NA19209	NA19209	F	AFR
NA19210	NA19210	M	AFR
NA19211	NA19211	M	AFR
NA19213	NA19213	M	AFR
NA19214	NA19214	F	AFR
NA19215	NA19215	F	AFR
NA19221	NA19221	F	AFR
NA19222	NA19222	F	AFR
NA19223	NA19223	M	AFR
NA19224	NA19224	M	AFR
NA19225	NA19225	F	AFR
NA19226	NA19226	M	AFR
NA19235	NA19235	F	AFR
NA19236	NA19236	M	AFR
NA19237	NA19237	F	AFR
NA19238	NA19238	F	AFR
NA19239	NA19239	M	AFR
NA19240	NA19240	F	AFR
NA19247	NA19247	F	AFR
NA19248	NA19248	M	AFR
NA19249	NA19249	M	AFR
NA19252	NA19252	M	AFR
NA19254	NA19254	F	AFR
NA19256	NA19256	M	AFR
NA19257	NA19257	F	AFR
NA19258	NA19258	M	AFR
NA19307	NA19307	M	AFR
NA19308	NA19308	M	AFR
NA19309	NA19309	M	AFR
NA19310	NA19310	F	AFR
NA19311	NA19311	M	AFR
NA19312	NA19312	M	AFR
NA19313	NA19313	F	AFR
NA19314	NA19314	F	AFR
NA19315	NA19315	F	AFR
NA19316	NA19316	F	AFR
NA19317	NA19317	M	AFR
NA19318	NA19318	M	AFR
NA19319	NA19319	M	AFR
NA19320	NA19320	F	AFR
NA19321	NA19321	F	AFR
NA19323	NA19323	F	AFR
NA19324	NA19324	F	AFR
NA19327	NA19327	F	AFR
NA19328	NA19328	F	AFR
NA19331	NA19331	M	AFR
NA19332	NA19332	F	AFR
NA19334	NA19334	M	AFR
NA19338	NA19338	F	AFR
NA19346	NA19346	M	AFR
NA19347	NA19347	M	AFR
NA19350	NA19350	M	AFR
NA19351	NA19351	F	AFR
NA19352	NA19352	M	AFR
NA19355	NA19355	F	AFR
NA19359	NA19359	M	AFR
NA19360	NA19360	M	AFR
NA19371	NA19371	M	AFR
NA19372	NA19372	M	AFR
NA19373	NA19373	M	AFR
NA19374	NA19374	M	AFR
NA19375	NA19375	M	AFR
NA19376	NA19376	M	AFR
NA19377	NA19377	F	AFR
NA19378	NA19378	F	AFR
NA19379	NA19379	F	AFR
NA19380	NA19380	M	AFR
NA19381	NA19381	F	AFR
NA19382	NA19382	M	AFR
NA19383	NA19383	M	AFR
NA19384	NA19384	M	AFR
NA19385	NA19385	M	AFR
NA19390	NA19390	F	AFR
NA19391	NA19391	F	AFR
NA19393	NA19393	M	AFR
NA19394	NA19394	M	AFR
NA19395	NA19395	F	AFR
NA19396	NA19396	F	AFR
NA19397	NA19397	M	AFR
NA19398	NA19398	F	AFR
NA19399	NA19399	F	AFR
NA19401	NA19401	F	AFR
NA19403	NA19403	F	AFR
NA19404	NA19404	F	AFR
NA19428	NA19428	M	AFR
NA19429	NA19429	M	AFR
NA19430	NA19430	M	AFR
NA19431	NA19431	F	AFR
NA19432	NA19432	F	AFR
NA19434	NA19434	F	AFR
NA19435	NA19435	F	AFR
NA19436	NA19436	F	AFR
NA19437	NA19437	F	AFR
NA19438	NA19438	F	AFR
NA19439	NA19439	F	AFR
NA19440	NA19440	F	AFR
NA19443	NA19443	M	AFR
NA19444	NA19444	M	AFR
NA19445	NA19445	F	AFR
NA19446	NA19446	F	AFR
NA19448	NA19448	M	AFR
NA19449	NA19449	F	AFR
NA19451	NA19451	M	AFR
NA19452	NA19452	M	AFR
NA19453	NA19453	M	AFR
NA19454	NA19454	M	AFR
NA19455	NA19455	M	AFR
NA19456	NA19456	F	AFR
NA19457	NA19457	F	AFR
NA19461	NA19461	M	AFR
NA19462	NA19462	F	AFR
NA19463	NA19463	F	AFR
NA19466	NA19466	M	AFR
NA19467	NA19467	F	AFR
NA19468	NA19468	F	AFR
NA19469	NA19469	F	AFR
NA19470	NA19470	F	AFR
NA19471	NA19471	F	AFR
NA19472	NA19472	F	AFR
NA19473	NA19473	F	AFR
NA19474	NA19474	F	AFR
NA19475	NA19475	F	AFR
NA19625	NA19625	F	AFR
NA19648	NA19648	F	AMR
NA19649	NA19649	M	AMR
NA19650	NA19650	M	AMR
NA19651	NA19651	F	AMR
NA19652	NA19652	M	AMR
NA19653	NA19653	F	AMR
NA19654	NA19654	F	AMR
NA19655	NA19655	M	AMR
NA19656	NA19656	F	AMR
NA19657	NA19657	F	AMR
NA19658	NA19658	M	AMR
NA19659	NA19659	F	AMR
NA19660	NA19660	F	AMR
NA19661	NA19661	M	AMR
NA19662	NA19662	F	AMR
NA19663	NA19663	F	AMR
NA19664	NA19664	M	AMR
NA19665	NA19665	F	AMR
NA19669	NA19669	F	AMR
NA19670	NA19670	M	AMR
NA19671	NA19671	F	AMR
NA19672	NA19672	F	AMR
NA19674	NA19674	M	AMR
NA19675	NA19675	F	AMR
NA19676	NA19676	M	AMR
NA19677	NA19677	F	AMR
NA19678	NA19678	F	AMR
NA19679	NA19679	M	AMR
NA19680	NA19680	F	AMR
NA19681	NA19681	F	AMR
NA19682	NA19682	M	AMR
NA19683	NA19683	F	AMR
NA19684	NA19684	F	AMR
NA19685	NA19685	M	AMR
NA19686	NA19686	F	AMR
NA19700	NA19700	M	AFR
NA19701	NA19701	F	AFR
NA19702	NA19702	M	AFR
NA19703	NA19703	M	AFR
NA19704	NA19704	F	AFR
NA19705	NA19705	M	AFR
NA19707	NA19707	F	AFR
NA19708	NA19708	F	AFR
NA19711	NA19711	M	AFR
NA19712	NA19712	F	AFR
NA19713	NA19713	F	AFR
NA19714	NA19714	F	AFR
NA19716	NA19716	F	AMR
NA19717	NA19717	M	AMR
NA19718	NA19718	F	AMR
NA19719	NA19719	F	AMR
NA19720	NA19720	M	AMR
NA19721	NA19721	F	AMR
NA19722	NA19722	F	AMR
NA19723	NA19723	M	AMR
NA19724	NA19724	M	AMR
NA19725	NA19725	F	AMR
NA19726	NA19726	M	AMR
NA19727	NA19727	M	AMR
NA19728	NA19728	F	AMR
NA19729	NA19729	M	AMR
NA19730	NA19730	F	AMR
NA19731	NA19731	F	AMR
NA19732	NA19732	M	AMR
NA19733	NA19733	F	AMR
NA19734	NA19734	F	AMR
NA19735	NA19735	M	AMR
NA19737	NA19737	F	AMR
NA19738	NA19738	M	AMR
NA19740	NA19740	F	AMR
NA19741	NA19741	M	AMR
NA19742	NA19742	M	AMR
NA19746	NA19746	F	AMR
NA19747	NA19747	M	AMR
NA19748	NA19748	F	AMR
NA19749	NA19749	F	AMR
NA19750	NA19750	M	AMR
NA19751	NA19751	M	AMR
NA19752	NA19752	F	AMR
NA19753	NA19753	M	AMR
NA19754	NA19754	F	AMR
NA19755	NA19755	F	AMR
NA19756	NA19756	M	AMR
NA19757	NA19757	M	AMR
NA19758	NA19758	F	AMR
NA19759	NA19759	M	AMR
NA19760	NA19760	F	AMR
NA19761	NA19761	F	AMR
NA19762	NA19762	M	AMR
NA19763	NA19763	F	AMR
NA19764	NA19764	F	AMR
NA19766	NA19766	F	AMR
NA19770	NA19770	F	AMR
NA19771	NA19771	M	AMR
NA19772	NA19772	M	AMR
NA19773	NA19773	F	AMR
NA19774	NA19774	M	AMR
NA19775	NA19775	F	AMR
NA19776	NA19776	F	AMR
NA19777	NA19777	M	AMR
NA19778	NA19778	M	AMR
NA19779	NA19779	F	AMR
NA19780	NA19780	M	AMR
NA19781	NA19781	F	AMR
NA19782	NA19782	F	AMR
NA19783	NA19783	M	AMR
NA19784	NA19784	M	AMR
NA19785	NA19785	F	AMR
NA19786	NA19786	M	AMR
NA19787	NA19787	M	AMR
NA19788	NA19788	F	AMR
NA19789	NA19789	M	AMR
NA19790	NA19790	F	AMR
NA19792	NA19792	M	AMR
NA19794	NA19794	F	AMR
NA19795	NA19795	M	AMR
NA19796	NA19796	M	AMR
NA19797	NA19797	F	AMR
NA19798	NA19798	M	AMR
NA19818	NA19818	M	AFR
NA19819	NA19819	F	AFR
NA19828	NA19828	M	AFR
NA19834	NA19834	M	AFR
NA19835	NA19835	F	AFR
NA19836	NA19836	F	AFR
NA19900	NA19900	M	AFR
NA19901	NA19901	F	AFR
NA19902	NA19902	F	AFR
NA19904	NA19904	M	AFR
NA19905	NA19905	F	AFR
NA19908	NA19908	M	AFR
NA19909	NA19909	F	AFR
NA19913	NA19913	F	AFR
NA19914	NA19914	F	AFR
NA19915	NA19915	M	AFR
NA19916	NA19916	M	AFR
NA19917	NA19917	F	AFR
NA19918	NA19918	M	AFR
NA19919	NA19919	M	AFR
NA19920	NA19920	M	AFR
NA19921	NA19921	F	AFR
NA19922	NA19922	M	AFR
NA19923	NA19923	F	AFR
NA19924	NA19924	F	AFR
NA19982	NA19982	M	AFR
NA19983	NA19983	F	AFR
NA19984	NA19984	M	AFR
NA19985	NA19985	F	AFR
NA20126	NA20126	M	AFR
NA20127	NA20127	F	AFR
NA20128	NA20128	F	AFR
NA20129	NA20129	F	AFR
NA20274	NA20274	F	AFR
NA20276	NA20276	F	AFR
NA20277	NA20277	F	AFR
NA20278	NA20278	M	AFR
NA20279	NA20279	M	AFR
NA20281	NA20281	M	AFR
NA20282	NA20282	F	AFR
NA20284	NA20284	M	AFR
NA20285	NA20285	M	AFR
NA20287	NA20287	F	AFR
NA20288	NA20288	M	AFR
NA20289	NA20289	F	AFR
NA20290	NA20290	F	AFR
NA20291	NA20291	M	AFR
NA20292	NA20292	F	AFR
NA20294	NA20294	F	AFR
NA20295	NA20295	M	AFR
NA20296	NA20296	F	AFR
NA20297	NA20297	M	AFR
NA20298	NA20298	M	AFR
NA20299	NA20299	F	AFR
NA20300	NA20300	F	AFR
NA20301	NA20301	F	AFR
NA20302	NA20302	M	AFR
NA20312	NA20312	F	AFR
NA20313	NA20313	F	AFR
NA20314	NA20314	F	AFR
NA20316	NA20316	M	AFR
NA20317	NA20317	F	AFR
NA20318	NA20318	M	AFR
NA20319	NA20319	F	AFR
NA20320	NA20320	F	AFR
NA20321	NA20321	F	AFR
NA20322	NA20322	F	AFR
NA20332	NA20332	F	AFR
NA20333	NA20333	F	AFR
NA20334	NA20334	F	AFR
NA20335	NA20335	M	AFR
NA20336	NA20336	F	AFR
NA20337	NA20337	F	AFR
NA20339	NA20339	F	AFR
NA20340	NA20340	M	AFR
NA20341	NA20341	F	AFR
NA20342	NA20342	M	AFR
NA20343	NA20343	M	AFR
NA20344	NA20344	F	AFR
NA20345	NA20345	M	AFR
NA20346	NA20346	M	AFR
NA20347	NA20347	M	AFR
NA20348	NA20348	M	AFR
NA20349	NA20349	M	AFR
NA20350	NA20350	M	AFR
NA20351	NA20351	M	AFR
NA20355	NA20355	F	AFR
NA20356	NA20356	M	AFR
NA20357	NA20357	F	AFR
NA20358	NA20358	M	AFR
NA20359	NA20359	F	AFR
NA20360	NA20360	M	AFR
NA20361	NA20361	F	AFR
NA20362	NA20362	M	AFR
NA20363	NA20363	F	AFR
NA20364	NA20364	F	AFR
NA20412	NA20412	F	AFR
NA20413	NA20413	M	AFR
NA20414	NA20414	F	AFR
NA20502	NA20502	F	EUR
NA20503	NA20503	F	EUR
NA20504	NA20504	F	EUR
NA20505	NA20505	F	EUR
NA20506	NA20506	F	EUR
NA20507	NA20507	F	EUR
NA20508	NA20508	F	EUR
NA20509	NA20509	M	EUR
NA20510	NA20510	M	EUR
NA20511	NA20511	M	EUR
NA20512	NA20512	M	EUR
NA20513	NA20513	M	EUR
NA20514	NA20514	F	EUR
NA20515	NA20515	M	EUR
NA20516	NA20516	M	EUR
NA20517	NA20517	F	EUR
NA20518	NA20518	M	EUR
NA20519	NA20519	M	EUR
NA20520	NA20520	M	EUR
NA20521	NA20521	M	EUR
NA20522	NA20522	F	EUR
NA20524	NA20524	M	EUR
NA20525	NA20525	M	EUR
NA20526	NA20526	F	EUR
NA20527	NA20527	M	EUR
NA20528	NA20528	M	EUR
NA20529	NA20529	F	EUR
NA20530	NA20530	F	EUR
NA20531	NA20531	F	EUR
NA20532	NA20532	M	EUR
NA20533	NA20533	F	EUR
NA20534	NA20534	M	EUR
NA20535	NA20535	F	EUR
NA20536	NA20536	M	EUR
NA20537	NA20537	M	EUR
NA20538	NA20538	M	EUR
NA20539	NA20539	M	EUR
NA20540	NA20540	F	EUR
NA20541	NA20541	F	EUR
NA20542	NA20542	F	EUR
NA20543	NA20543	M	EUR
NA20544	NA20544	M	EUR
NA20581	NA20581	M	EUR
NA20582	NA20582	F	EUR
NA20585	NA20585	F	EUR
NA20586	NA20586	M	EUR
NA20587	NA20587	F	EUR
NA20588	NA20588	M	EUR
NA20589	NA20589	F	EUR
NA20752	NA20752	M	EUR
NA20753	NA20753	F	EUR
NA20754	NA20754	M	EUR
NA20755	NA20755	M	EUR
NA20756	NA20756	F	EUR
NA20757	NA20757	F	EUR
NA20758	NA20758	M	EUR
NA20759	NA20759	M	EUR
NA20760	NA20760	F	EUR
NA20761	NA20761	F	EUR
NA20762	NA20762	M	EUR
NA20763	NA20763	M	EUR
NA20764	NA20764	F	EUR
NA20765	NA20765	M	EUR
NA20766	NA20766	F	EUR
NA20767	NA20767	M	EUR
NA20768	NA20768	F	EUR
NA20769	NA20769	F	EUR
NA20770	NA20770	M	EUR
NA20771	NA20771	F	EUR
NA20772	NA20772	F	EUR
NA20773	NA20773	F	EUR
NA20774	NA20774	F	EUR
NA20775	NA20775	F	EUR
NA20778	NA20778	M	EUR
NA20783	NA20783	M	EUR
NA20785	NA20785	M	EUR
NA20786	NA20786	F	EUR
NA20787	NA20787	M	EUR
NA20790	NA20790	F	EUR
NA20792	NA20792	M	EUR
NA20795	NA20795	F	EUR
NA20796	NA20796	M	EUR
NA20797	NA20797	F	EUR
NA20798	NA20798	M	EUR
NA20799	NA20799	F	EUR
NA20800	NA20800	F	EUR
NA20801	NA20801	M	EUR
NA20802	NA20802	F	EUR
NA20803	NA20803	M	EUR
NA20804	NA20804	F	EUR
NA20805	NA20805	M	EUR
NA20806	NA20806	M	EUR
NA20807	NA20807	F	EUR
NA20808	NA20808	F	EUR
NA20809	NA20809	M	EUR
NA20810	NA20810	M	EUR
NA20811	NA20811	M	EUR
NA20812	NA20812	M	EUR
NA20813	NA20813	F	EUR
NA20814	NA20814	M	EUR
NA20815	NA20815	M	EUR
NA20816	NA20816	M	EUR
NA20818	NA20818	F	EUR
NA20819	NA20819	F	EUR
NA20821	NA20821	F	EUR
NA20822	NA20822	F	EUR
NA20826	NA20826	F	EUR
NA20827	NA20827	M	EUR
NA20828	NA20828	F	EUR
NA20829	NA20829	M	EUR
NA20831	NA20831	M	EUR
NA20832	NA20832	F	EUR
NA20845	NA20845	M	SAS
NA20846	NA20846	M	SAS
NA20847	NA20847	F	SAS
NA20849	NA20849	F	SAS
NA20850	NA20850	M	SAS
NA20851	NA20851	F	SAS
NA20852	NA20852	M	SAS
NA20853	NA20853	F	SAS
NA20854	NA20854	F	SAS
NA20856	NA20856	F	SAS
NA20858	NA20858	M	SAS
NA20859	NA20859	F	SAS
NA20861	NA20861	M	SAS
NA20862	NA20862	F	SAS
NA20863	NA20863	M	SAS
NA20864	NA20864	M	SAS
NA20866	NA20866	M	SAS
NA20867	NA20867	M	SAS
NA20868	NA20868	F	SAS
NA20869	NA20869	F	SAS
NA20870	NA20870	M	SAS
NA20871	NA20871	M	SAS
NA20872	NA20872	F	SAS
NA20873	NA20873	M	SAS
NA20874	NA20874	F	SAS
NA20875	NA20875	F	SAS
NA20876	NA20876	F	SAS
NA20877	NA20877	F	SAS
NA20878	NA20878	F	SAS
NA20879	NA20879	F	SAS
NA20881	NA20881	F	SAS
NA20882	NA20882	F	SAS
NA20883	NA20883	M	SAS
NA20884	NA20884	M	SAS
NA20885	NA20885	M	SAS
NA20886	NA20886	F	SAS
NA20887	NA20887	M	SAS
NA20888	NA20888	F	SAS
NA20889	NA20889	M	SAS
NA20890	NA20890	M	SAS
NA20891	NA20891	M	SAS
NA20892	NA20892	F	SAS
NA20893	NA20893	F	SAS
NA20894	NA20894	F	SAS
NA20895	NA20895	M	SAS
NA20896	NA20896	F	SAS
NA20897	NA20897	M	SAS
NA20898	NA20898	M	SAS
NA20899	NA20899	F	SAS
NA20900	NA20900	F	SAS
NA20901	NA20901	M	SAS
NA20902	NA20902	F	SAS
NA20903	NA20903	M	SAS
NA20904	NA20904	M	SAS
NA20905	NA20905	M	SAS
NA20906	NA20906	F	SAS
NA20907	NA20907	F	SAS
NA20908	NA20908	F	SAS
NA20909	NA20909	M	SAS
NA20910	NA20910	F	SAS
NA20911	NA20911	M	SAS
NA21086	NA21086	F	SAS
NA21087	NA21087	M	SAS
NA21088	NA21088	F	SAS
NA21089	NA21089	F	SAS
NA21090	NA21090	M	SAS
NA21091	NA21091	M	SAS
NA21092	NA21092	M	SAS
NA21093	NA21093	M	SAS
NA21094	NA21094	M	SAS
NA21095	NA21095	M	SAS
NA21097	NA21097	F	SAS
NA21098	NA21098	M	SAS
NA21099	NA21099	M	SAS
NA21100	NA21100	M	SAS
NA21101	NA21101	F	SAS
NA21102	NA21102	F	SAS
NA21103	NA21103	F	SAS
NA21104	NA21104	M	SAS
NA21105	NA21105	M	SAS
NA21106	NA21106	F	SAS
NA21107	NA21107	M	SAS
NA21108	NA21108	F	SAS
NA21109	NA21109	M	SAS
NA21110	NA21110	F	SAS
NA21111	NA21111	M	SAS
NA21112	NA21112	M	SAS
NA21113	NA21113	M	SAS
NA21114	NA21114	M	SAS
NA21115	NA21115	M	SAS
NA21116	NA21116	M	SAS
NA21117	NA21117	M	SAS
NA21118	NA21118	M	SAS
NA21119	NA21119	M	SAS
NA21120	NA21120	F	SAS
NA21121	NA21121	F	SAS
NA21122	NA21122	F	SAS
NA21123	NA21123	M	SAS
NA21124	NA21124	M	SAS
NA21125	NA21125	F	SAS
NA21126	NA21126	M	SAS
NA21127	NA21127	M	SAS
NA21128	NA21128	M	SAS
NA21129	NA21129	M	SAS
NA21130	NA21130	M	SAS
NA21133	NA21133	M	SAS
NA21134	NA21134	M	SAS
NA21135	NA21135	M	SAS
